Filename,Anomaly_Score,MSE,SSIM_Delta,Is_Anomaly
tile_14296.npy,0.27790254,0.0046465565,0.55115855,False
tile_22358.npy,0.27788267,0.00503858,0.5507268,False
tile_17208.npy,0.2778676,0.0045330725,0.5512021,False
tile_18190.npy,0.2778407,0.00534657,0.5503348,False
tile_19401.npy,0.27782908,0.00444036,0.5512178,False
tile_18769.npy,0.27770624,0.0042858347,0.55112666,False
tile_23614.npy,0.27766293,0.0035920222,0.55173385,False
tile_21539.npy,0.27762732,0.0047966572,0.55045795,False
tile_24110.npy,0.27759665,0.0042371484,0.55095613,False
tile_27949.npy,0.2774808,0.0051293466,0.5498323,False
tile_13664.npy,0.27747536,0.0046339766,0.55031675,False
tile_10888.npy,0.27739823,0.0048477785,0.5499487,False
tile_26736.npy,0.27738813,0.0045384606,0.5502378,False
tile_27557.npy,0.27738428,0.004129854,0.55063874,False
tile_20853.npy,0.27737617,0.005455261,0.5492971,False
tile_27036.npy,0.27734014,0.0048288507,0.5498514,False
tile_24433.npy,0.2773367,0.0048362706,0.5498371,False
tile_25524.npy,0.27731687,0.0044946377,0.55013907,False
tile_8471.npy,0.277184,0.0044486863,0.5499193,False
tile_25642.npy,0.27718335,0.0036595813,0.5507071,False
tile_26520.npy,0.27715316,0.0055916444,0.5487147,False
tile_6034.npy,0.27711472,0.002997942,0.5512315,False
tile_25105.npy,0.27706936,0.004703443,0.54943526,False
tile_6379.npy,0.2770639,0.0041724737,0.54995537,False
tile_19465.npy,0.27704194,0.00410234,0.54998153,False
tile_28808.npy,0.27696416,0.004546214,0.5493821,False
tile_7441.npy,0.27695814,0.004432603,0.54948366,False
tile_22024.npy,0.27695498,0.0045520375,0.5493579,False
tile_22349.npy,0.27692002,0.005436524,0.5484035,False
tile_18127.npy,0.27687874,0.0040071737,0.5497503,False
tile_27739.npy,0.2768519,0.004344958,0.54935884,False
tile_25093.npy,0.2768198,0.003642028,0.54999757,False
tile_22672.npy,0.27678555,0.0037441528,0.549827,False
tile_10229.npy,0.276743,0.0044070315,0.54907894,False
tile_5835.npy,0.2767237,0.0043638535,0.5490836,False
tile_26030.npy,0.27667543,0.0036377115,0.54971313,False
tile_24619.npy,0.2766711,0.0048238495,0.54851836,False
tile_11457.npy,0.2766467,0.0040086242,0.54928476,False
tile_15857.npy,0.27663895,0.0040665953,0.5492113,False
tile_21712.npy,0.27663392,0.004760853,0.548507,False
tile_29336.npy,0.276618,0.0048271655,0.54840887,False
tile_23960.npy,0.2766011,0.0044832826,0.5487189,False
tile_28269.npy,0.27659988,0.0035413767,0.5496584,False
tile_25171.npy,0.2765977,0.004578408,0.548617,False
tile_17943.npy,0.27657443,0.0045293835,0.5486195,False
tile_5335.npy,0.2765572,0.0040224767,0.54909194,False
tile_27192.npy,0.27648884,0.0035927847,0.5493849,False
tile_25267.npy,0.27648532,0.004883555,0.5480871,False
tile_8128.npy,0.2764697,0.0043000323,0.54863936,False
tile_7626.npy,0.276455,0.0016609117,0.5512491,False
tile_26176.npy,0.27642977,0.004209994,0.54864955,False
tile_19330.npy,0.27638945,0.0053032534,0.54747564,False
tile_22359.npy,0.2763872,0.0045999316,0.5481745,False
tile_23974.npy,0.2763556,0.0034163408,0.5492948,False
tile_28136.npy,0.27625692,0.0040784036,0.54843545,False
tile_20984.npy,0.2762296,0.0039873803,0.5484718,False
tile_6046.npy,0.27618808,0.004108198,0.54826796,False
tile_26582.npy,0.2761752,0.0036109914,0.54873943,False
tile_10700.npy,0.2761579,0.004805139,0.5475106,False
tile_27955.npy,0.27612957,0.004119795,0.54813933,False
tile_23957.npy,0.27610183,0.0041565727,0.54804707,False
tile_27255.npy,0.27609015,0.003413302,0.548767,False
tile_5170.npy,0.27608895,0.003990593,0.5481873,False
tile_23691.npy,0.27606228,0.0042485944,0.54787594,False
tile_18301.npy,0.27605307,0.0044304095,0.5476757,False
tile_24103.npy,0.27603492,0.004390507,0.54767936,False
tile_26329.npy,0.27602503,0.0041778553,0.5478722,False
tile_22228.npy,0.2759822,0.004015474,0.54794896,False
tile_5168.npy,0.27596462,0.0038022916,0.54812694,False
tile_19228.npy,0.27595618,0.005051422,0.54686093,False
tile_18134.npy,0.27594495,0.004671169,0.54721874,False
tile_12620.npy,0.27589062,0.0040448224,0.5477364,False
tile_21853.npy,0.27587932,0.00369937,0.5480593,False
