Filename,Anomaly_Score,MSE,SSIM_Delta,KLD,Is_Anomaly
tile_16087.npy,0.5292538,0.053566046,0.9997252,2.6081448,True
tile_10134.npy,0.5291631,0.053153135,0.99976146,2.7058058,True
tile_6330.npy,0.5291118,0.053183764,0.99979645,2.6217124,True
tile_10750.npy,0.5289959,0.05753616,0.9996455,0.40509477,True
tile_4770.npy,0.528947,0.0528254,0.99975926,2.6546469,True
tile_11361.npy,0.52891576,0.05290427,0.9997904,2.5683987,True
tile_9613.npy,0.5289049,0.05270283,0.9997119,2.697609,True
tile_12572.npy,0.52887785,0.05269696,0.9997495,2.6546373,True
tile_5646.npy,0.5288746,0.05261813,0.9998203,2.6553879,True
tile_15029.npy,0.52882713,0.05277527,0.99976665,2.5561352,False
tile_10830.npy,0.5288258,0.052583948,0.9997678,2.6499603,False
tile_9315.npy,0.5287863,0.05252563,0.99978995,2.628481,False
tile_8925.npy,0.528746,0.052312605,0.99978197,2.6986904,False
tile_20422.npy,0.52870727,0.05205731,0.9997421,2.8075373,False
tile_20600.npy,0.5286928,0.0523815,0.9997339,2.6350634,False
tile_20138.npy,0.5285781,0.050715834,0.9995917,3.4243543,False
tile_9445.npy,0.528509,0.05164841,0.9998197,2.7749376,False
tile_11036.npy,0.52850765,0.052017618,0.9997391,2.629282,False
tile_19194.npy,0.5285015,0.05196474,0.9998047,2.6168258,False
tile_8618.npy,0.52848935,0.05201484,0.9996434,2.660226,False
tile_11528.npy,0.5284805,0.05196495,0.9997115,2.6422918,False
tile_5641.npy,0.52847445,0.051753208,0.9998173,2.6892068,False
tile_11373.npy,0.5284744,0.051744193,0.9997673,2.7186532,False
tile_7552.npy,0.52839917,0.05171035,0.9997996,2.6441674,False
tile_9265.npy,0.5283989,0.051678166,0.9997347,2.6924365,False
tile_5996.npy,0.5283897,0.05180993,0.99974865,2.6103923,False
tile_11715.npy,0.52830243,0.051313438,0.9998155,2.7379327,False
tile_8056.npy,0.52818054,0.051236726,0.9997761,2.674087,False
tile_7039.npy,0.52815676,0.051063158,0.99969363,2.7783759,False
tile_8945.npy,0.52811116,0.05124468,0.9998087,2.5844672,False
tile_13968.npy,0.52809083,0.05126018,0.99975896,2.581225,False
tile_8576.npy,0.5280357,0.051128007,0.9998304,2.5565064,False
tile_14022.npy,0.52802473,0.05059684,0.9997396,2.8565156,False
tile_5631.npy,0.5279924,0.05085351,0.999718,2.706634,False
tile_11723.npy,0.527987,0.051115334,0.9997865,2.5360537,False
tile_9642.npy,0.52794063,0.05101309,0.9996989,2.5846593,False
tile_14853.npy,0.5279403,0.050797768,0.9996986,2.6921115,False
tile_4771.npy,0.5278175,0.050587468,0.9997086,2.6694832,False
